AN_inval_propFP_Rp,AN_inval_propFP_Ts,AN_inval_propHit_Rp,AN_inval_propHit_Ts,AN_inval_propOm_Rp,AN_inval_propOm_Ts,AN_val_propFP_Rp,AN_val_propFP_Ts,AN_val_propHit_Rp,AN_val_propHit_Ts,AN_val_propOm_Rp,AN_val_propOm_Ts,HA_inval_propFP_Rp,HA_inval_propFP_Ts,HA_inval_propHit_Rp,HA_inval_propHit_Ts,HA_inval_propOm_Rp,HA_inval_propOm_Ts,HA_val_propFP_Rp,HA_val_propFP_Ts,HA_val_propHit_Rp,HA_val_propHit_Ts,HA_val_propOm_Rp,HA_val_propOm_Ts
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,1,0,0,0,0,1,0.98913,0,0.01087,0,0,1,1,0,0,0,0,1,1,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0.95,1,0.05,0,0.0125,0,0.9375,1,0.05,0,0,0,1,1,0,0,0,0.01087,1,0.98913,0,0
0,NaN,1,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,1,NaN,0,NaN
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0.014706,0.012048,0.98529,0.98795,0,0,0,0,1,0.98876,0,0.011236,0,0,1,1,0,0
0.11111,0.033708,0.88889,0.96629,0,0,0.040541,0.011111,0.94595,0.98889,0.013514,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,0.98837,0,0.011628,0,0.021978,1,0.94505,0,0.032967,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,0.98551,1,0.014493,0,0,0,1,1,0,0,0,0,0.98649,1,0.013514,0
NaN,0.011236,NaN,0.98876,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0.011111,NaN,0.98889,NaN,0
0,0,0.94444,1,0.055556,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0.98765,0.98851,0.012346,0.011494
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
NaN,0.17647,NaN,0.82353,NaN,0,NaN,0.30864,NaN,0.69136,NaN,0,NaN,0,NaN,0.98765,NaN,0.012346,NaN,0,NaN,1,NaN,0
0,0.011494,1,0.98851,0,0,0.025,0,0.9625,0.98913,0.0125,0.01087,0,0,0.95,0.98864,0.05,0.011364,0.012658,0,0.98734,1,0,0
0,0,1,1,0,0,0.012987,0,0.98701,1,0,0,0,0,1,1,0,0,0.013514,0,0.98649,1,0,0
0.055556,0.011364,0.94444,0.97727,0,0.011364,0,0.022222,1,0.96667,0,0.011111,0,0,1,1,0,0,0,0,1,1,0,0
0.052632,0.022727,0.94737,0.96591,0,0.011364,0.013158,0.034483,0.98684,0.96552,0,0,0.11111,0,0.88889,0.98864,0,0.011364,0.025641,0,0.96154,0.97778,0.012821,0.022222
0,0.011494,1,0.98851,0,0,0.027397,0,0.9726,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.012346,1,0.98765,0,0,0,0.012821,1,0.98718,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.022727,1,0.97727,0,0,0,0.011236,1,0.98876,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0.066667,0,0.93333,1,0,0,0,0.023256,1,0.97674,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.023256,1,0.97674,0,0,0.063291,0.044944,0.93671,0.95506,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.011111,1,0.98889,0,0,0.025316,0,0.97468,0.97802,0,0.021978,0.05,0,0.95,1,0,0,0.0125,0,0.9875,1,0,0
0.10526,0.022222,0.89474,0.97778,0,0,0.014085,0.010989,0.98592,0.98901,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.011364,1,0.98864,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0.013699,0,0.9863,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0.11111,0,0.88889,1,0,0,0.24359,0.021739,0.61538,0.97826,0.14103,0,0,0.011364,1,0.98864,0,0,0.012821,0,0.97436,1,0.012821,0
0,0.02381,1,0.97619,0,0,0.014706,0.011494,0.97059,0.98851,0.014706,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.02381,1,0.97619,0,0,0,0.024691,1,0.97531,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.043956,1,0.95604,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.14458,1,0.85542,0,0,0,0.12048,1,0.87952,0,0,0,0,1,1,0,0,0,0,0.98734,1,0.012658,0
0.0625,0.034091,0.9375,0.95455,0,0.011364,0.013158,0.021978,0.98684,0.97802,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.011905,1,0.9881,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,NaN,1,NaN,0,NaN,0.042254,NaN,0.95775,NaN,0,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0.98507,NaN,0.014925,NaN
0.055556,0.022472,0.94444,0.97753,0,0,0.015385,0,0.98462,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.056818,1,0.92045,0,0.022727,0.076923,0,0.92308,1,0,0,0.11111,0,0.88889,1,0,0,0.038961,0.011236,0.94805,0.97753,0.012987,0.011236
0.05,0,0.95,1,0,0,0,0.011111,1,0.98889,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.072289,1,0.92771,0,0,0.029412,0,0.97059,1,0,0,0,0.012048,1,0.98795,0,0,0,0,1,1,0,0
0.16667,0.038462,0.83333,0.96154,0,0,0.054054,0.089744,0.94595,0.91026,0,0,0,0,1,1,0,0,0,0,0.98701,1,0.012987,0
0,0.022989,1,0.97701,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0.041096,0,0.9589,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.011494,1,0.98851,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.012821,0,0.98718,1,0,0
0,0.011494,1,0.98851,0,0,0,0.022472,1,0.97753,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0.022989,1,0.97701,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
